quarter,role,date,pred_return,true_return,pred_action,true_action,action_correct,action_strength,boundary_gap,abs_error,SP500,SP500_logret,VIXCLS,T10Y2Y,GS10,UNRATE,UMCSENT
2025Q1,Typical Buy,2025-01-29 00:00:00,0.03927899897098541,0.03394375368952751,Buy,Buy,True,0.014278998970985411,0.014278998970985411,0.005335245281457901,3.766671221418281,-0.427579220720381,-0.29307546036095805,-0.49121637395756684,3.2193584915391025,-0.4173761931195544,-0.9788820584513681
2025Q1,Typical Hold,2025-02-25 00:00:00,0.000859629362821579,-0.0191421490162611,Hold,Hold,True,0.024140370637178422,0.024140370637178422,0.02000177837908268,3.6573145442378303,-0.42765212376988104,0.05388047651148745,-0.7202391310120964,2.9923410085083684,-0.3177433994734259,-1.4671891352313655
2025Q1,Typical Sell,2025-03-14 00:00:00,-0.09751032292842865,-0.07703452557325363,Sell,Sell,True,0.07251032292842866,0.07251032292842866,0.02047579735517502,3.2458154892896,1.7498426450311042,0.33676441110435235,-0.5953176271641712,2.7779356078682302,-0.3177433994734259,-2.004326919689363
2025Q1,Boundary Case,2025-02-05 00:00:00,0.02499663643538952,0.04308254271745682,Hold,Buy,False,3.36356461048265e-06,3.36356461048265e-06,0.0180859062820673,3.795512971752453,0.29935348229316816,-0.38857901092863456,-0.6577783790881337,2.9923410085083684,-0.3177433994734259,-1.4671891352313655
2025Q1,High-Confidence Mistake,2025-02-26 00:00:00,-0.00510798767209053,-0.03007427044212818,Hold,Sell,False,0.01989201232790947,0.01989201232790947,0.02496628277003765,3.6583683023691203,-0.019231072424976032,0.013986588299673381,-0.7826998829360589,2.9923410085083684,-0.3177433994734259,-1.4671891352313655
2025Q3,Typical Buy,2025-07-04 00:00:00,0.05143020302057266,0.03663413226604462,Buy,Buy,True,0.02643020302057266,0.02643020302057266,0.014796070754528046,4.078947890349941,-0.03073938027555898,-0.1818561356492332,-0.22055311562039578,2.9166685141647894,-0.26792700265036185,-1.6764635967085075
2025Q3,Typical Hold,2025-08-04 00:00:00,0.013249034062027931,0.01176408026367426,Hold,Hold,True,0.01175096593797207,0.01175096593797207,0.001484953798353672,4.1447622407967515,1.2071634060419847,-0.17702051283568004,-0.09563161177247052,2.752711443087037,-0.26792700265036185,-1.9206171350985062
2025Q3,Boundary Case,2025-08-13 00:00:00,0.024498017504811287,0.026819927617907524,Hold,Buy,False,0.0005019824951887145,0.0005019824951887145,0.002321910113096237,4.322522130993477,0.24213460100222867,-0.5433189409623383,-0.012350609207187247,2.752711443087037,-0.26792700265036185,-1.9206171350985062
2025Q3,High-Confidence Mistake,2025-09-23 00:00:00,0.044157516211271286,0.020717903971672058,Buy,Hold,False,0.019157516211271285,0.019157516211271285,0.023439612239599228,4.570142282486779,-0.49759838331152373,-0.28340421473385136,0.02928989207545451,2.576142289618688,-0.21811060582729738,-2.1368674119582196
2025Q4,Typical Buy,2025-10-30 00:00:00,0.04253844916820526,0.01835549995303154,Buy,Hold,False,0.01753844916820526,0.01753844916820526,0.02418294921517372,4.785343109743382,-0.8730299950266043,-0.250763760742367,-0.15809236369643315,2.5004697952751096,-0.21811060582729738,-2.2415046426967904
2025Q4,Typical Hold,2025-11-27 00:00:00,0.00020856037735939026,0.0012988257221877575,Hold,Hold,True,0.02479143962264061,0.02479143962264061,0.0010902653448283672,4.772685002808267,-0.03073938027555898,-0.21449658964071755,-0.05399111048982877,2.538306042446899,-0.16829420900423334,-2.4228758426436467
2025Q4,Typical Sell,2025-11-24 00:00:00,-0.029023628681898117,-0.018264377489686012,Sell,Hold,False,0.004023628681898116,0.004023628681898116,0.010759251192212105,4.632847395978304,1.2680282469303303,0.18565119818081338,0.00846964143413363,2.538306042446899,-0.16829420900423334,-2.4228758426436467
2025Q4,Boundary Case,2025-12-02 00:00:00,0.02531757764518261,0.019072003662586212,Buy,Hold,False,0.00031757764518260817,0.00031757764518260817,0.006245573982596397,4.7944886895742,0.17692576267645896,-0.289448743250793,0.00846964143413363,2.6013664543998805,-0.21811060582729738,-2.2903353503747903
2025Q4,High-Confidence Mistake,2025-11-19 00:00:00,-0.0022697634994983673,-0.03795225918292999,Hold,Sell,False,0.022730236500501634,0.022730236500501634,0.035682495683431625,4.550940467649954,0.2862988141118856,0.5652475890447433,-0.05399111048982877,2.538306042446899,-0.16829420900423334,-2.4228758426436467
